customer_id,Recency,Frequency,Monetary,R_Quartile,F_Quartile,M_Quartile,RFMScore
1,7,11,9084.45,4,4,4,444
2,54,3,4149.07,2,1,1,211
3,102,8,9888.23,1,4,4,144
4,195,2,1047.72,1,1,1,111
5,16,6,5903.2,4,2,2,422
6,64,5,5931.6900000000005,2,2,2,222
7,253,3,995.38,1,1,1,111
8,52,10,12024.759999999998,2,4,4,244
9,78,6,5357.549999999999,2,2,2,222
10,33,6,7067.83,3,2,3,323
11,46,6,6779.4400000000005,2,2,3,223
12,28,7,6394.21,3,3,3,333
13,43,7,7734.74,3,3,3,333
14,47,4,3593.57,2,1,1,211
15,35,6,4923.34,3,2,2,322
16,28,5,7763.79,3,2,3,323
17,0,5,4676.1900000000005,4,2,2,422
18,55,7,8878.62,2,3,4,234
19,102,3,4238.1900000000005,1,1,2,112
20,31,4,6618.86,3,1,3,313
21,6,5,7446.21,4,2,3,423
22,88,8,9546.35,1,4,4,144
23,10,7,8415.53,4,3,4,434
24,17,8,8078.950000000001,4,4,3,443
25,5,12,9996.33,4,4,4,444
26,143,3,3943.12,1,1,1,111
27,113,7,7679.97,1,3,3,133
28,142,6,5492.900000000001,1,2,2,122
29,20,9,10855.57,3,4,4,344
30,11,3,3736.5199999999995,4,1,1,411
31,168,4,3110.0,1,1,1,111
32,26,7,7873.18,3,3,3,333
33,21,7,9384.23,3,3,4,334
34,87,9,13133.0,1,4,4,144
35,92,4,4182.28,1,1,1,111
36,148,2,1781.04,1,1,1,111
37,7,9,11291.71,4,4,4,444
38,80,4,4502.59,2,1,2,212
39,34,12,11237.19,3,4,4,344
40,14,6,6175.2699999999995,4,2,3,423
41,31,9,9114.15,3,4,4,344
42,82,4,1936.46,2,1,1,211
43,61,9,6574.59,2,4,3,243
44,35,7,7497.4,3,3,3,333
45,43,3,2912.33,3,1,1,311
46,25,5,4923.139999999999,3,2,2,322
47,35,7,8022.01,3,3,3,333
48,111,8,9654.119999999999,1,4,4,144
49,27,5,7582.92,3,2,3,323
50,101,8,9252.66,1,4,4,144
51,28,8,9667.460000000001,3,4,4,344
52,4,7,10106.57,4,3,4,434
53,7,5,5472.74,4,2,2,422
54,20,7,9813.66,3,3,4,334
55,46,8,6754.21,2,4,3,243
56,2,7,5060.86,4,3,2,432
57,35,6,8748.75,3,2,4,324
58,39,8,6967.3099999999995,3,4,3,343
59,64,3,2797.47,2,1,1,211
60,200,2,1526.9,1,1,1,111
61,47,7,8397.28,2,3,4,234
62,5,6,5845.950000000001,4,2,2,422
63,68,3,4156.66,2,1,1,211
64,3,5,4111.12,4,2,1,421
65,136,6,8056.469999999999,1,2,3,123
66,43,5,6489.33,3,2,3,323
67,231,5,5304.15,1,2,2,122
68,58,3,5127.98,2,1,2,212
69,79,6,8395.75,2,2,4,224
70,4,5,4801.11,4,2,2,422
71,131,1,1415.01,1,1,1,111
72,53,5,4360.42,2,2,2,222
73,120,6,5265.87,1,2,2,122
74,75,3,2985.64,2,1,1,211
75,60,8,7130.63,2,4,3,243
76,1,8,7425.04,4,4,3,443
77,25,3,2964.73,3,1,1,311
78,327,2,1139.12,1,1,1,111
79,43,6,6761.43,3,2,3,323
80,199,10,12564.82,1,4,4,144
81,4,4,4421.7,4,1,2,412
82,78,5,5293.91,2,2,2,222
83,27,6,4464.65,3,2,2,322
84,147,7,5464.650000000001,1,3,2,132
85,20,6,3158.6299999999997,3,2,1,321
86,0,9,7319.35,4,4,3,443
87,18,9,7994.73,3,4,3,343
88,21,6,5550.83,3,2,2,322
89,4,9,12741.44,4,4,4,444
90,23,7,7703.58,3,3,3,333
91,9,8,8066.4400000000005,4,4,3,443
92,34,3,5098.43,3,1,2,312
93,20,3,5276.129999999999,3,1,2,312
94,21,7,8305.77,3,3,4,334
95,38,4,5049.799999999999,3,1,2,312
96,70,4,3874.84,2,1,1,211
97,102,8,8895.95,1,4,4,144
98,52,5,6180.05,2,2,3,223
99,2,9,8279.06,4,4,4,444
100,11,2,2748.2,4,1,1,411
101,8,4,4309.82,4,1,2,412
102,21,7,6659.22,3,3,3,333
103,49,5,4909.84,2,2,2,222
104,64,9,8985.64,2,4,4,244
105,152,4,6234.35,1,1,3,113
106,1,3,2906.16,4,1,1,411
107,81,4,3345.1000000000004,2,1,1,211
108,10,3,3556.66,4,1,1,411
109,8,10,10661.51,4,4,4,444
110,14,7,7788.71,4,3,3,433
111,157,4,4873.0599999999995,1,1,2,112
112,47,6,9059.89,2,2,4,224
113,28,6,5412.969999999999,3,2,2,322
114,70,4,3233.0,2,1,1,211
115,14,8,8398.18,4,4,4,444
116,12,8,5663.92,4,4,2,442
117,5,10,12856.83,4,4,4,444
118,69,5,5319.51,2,2,2,222
119,30,4,5217.66,3,1,2,312
120,113,3,3118.34,1,1,1,111
121,82,4,4327.44,2,1,2,212
122,8,5,6533.389999999999,4,2,3,423
123,119,4,5337.79,1,1,2,112
124,2,7,8272.15,4,3,4,434
125,86,10,7107.32,1,4,3,143
126,11,3,3448.12,4,1,1,411
127,33,10,9949.62,3,4,4,344
128,137,4,3679.75,1,1,1,111
129,29,4,4090.48,3,1,1,311
130,76,2,3340.42,2,1,1,211
131,58,6,8745.28,2,2,4,224
132,7,6,7365.93,4,2,3,423
133,223,5,3164.55,1,2,1,121
134,14,6,7170.95,4,2,3,423
135,83,7,6860.46,2,3,3,233
136,74,8,9406.85,2,4,4,244
137,158,5,3507.0499999999997,1,2,1,121
138,64,7,4927.35,2,3,2,232
139,60,9,10638.89,2,4,4,244
140,3,6,7649.34,4,2,3,423
141,25,3,4053.9800000000005,3,1,1,311
142,4,11,12474.74,4,4,4,444
143,13,4,4689.21,4,1,2,412
144,6,8,8961.14,4,4,4,444
145,21,7,8149.19,3,3,3,333
146,194,2,1973.29,1,1,1,111
147,34,6,8079.09,3,2,3,323
148,43,5,5808.83,3,2,2,322
149,18,6,7091.73,3,2,3,323
150,52,4,3630.96,2,1,1,211
151,0,8,13047.54,4,4,4,444
152,158,2,2941.37,1,1,1,111
153,64,7,7808.16,2,3,3,233
154,34,6,3558.31,3,2,1,321
155,8,3,4008.51,4,1,1,411
156,16,5,4831.58,4,2,2,422
157,135,4,2541.39,1,1,1,111
158,58,6,7221.05,2,2,3,223
159,66,6,6016.32,2,2,2,222
160,93,2,3024.58,1,1,1,111
161,159,1,1148.64,1,1,1,111
162,98,3,3317.47,1,1,1,111
163,174,2,3089.24,1,1,1,111
164,198,3,2583.85,1,1,1,111
165,8,9,9893.75,4,4,4,444
166,53,8,9737.72,2,4,4,244
167,14,9,9888.61,4,4,4,444
168,136,9,10135.25,1,4,4,144
169,61,3,2065.08,2,1,1,211
170,86,4,4254.31,1,1,2,112
171,18,9,9865.380000000001,3,4,4,344
172,11,8,10150.14,4,4,4,444
173,15,9,14061.48,4,4,4,444
174,11,10,12893.57,4,4,4,444
175,64,5,6008.03,2,2,2,222
176,140,5,6733.15,1,2,3,123
177,37,12,11826.34,3,4,4,344
178,32,4,3504.09,3,1,1,311
179,40,3,3168.84,3,1,1,311
180,11,7,7970.57,4,3,3,433
181,65,6,5663.9,2,2,2,222
182,13,7,9279.01,4,3,4,434
183,102,6,5947.98,1,2,2,122
184,32,3,3734.88,3,1,1,311
185,8,7,9254.279999999999,4,3,4,434
186,165,6,5550.85,1,2,2,122
187,14,7,6898.79,4,3,3,433
188,15,6,5126.07,4,2,2,422
189,3,5,8633.69,4,2,4,424
190,56,4,3083.07,2,1,1,211
191,105,1,1065.03,1,1,1,111
192,20,4,3836.29,3,1,1,311
193,99,5,7368.36,1,2,3,123
194,108,3,4313.530000000001,1,1,2,112
195,0,7,12479.46,4,3,4,434
196,205,8,6346.61,1,4,3,143
197,108,9,8456.02,1,4,4,144
